"Group","Family","Scientific Name","Common Name","Native Habitat","Exotic / Native Transplant","State","HUC","Name"
"Coelenterates-Hydrozoans","Olindiidae","Craspedacusta sowerbyi","freshwater jellyfish","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Crustaceans-Copepods","Lernaeidae","Lernaea cyprinacea","anchor worm","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Crustaceans-Crayfish","Cambaridae","Cambarellus shufeldtii","Cajun dwarf crayfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Crustaceans-Crayfish","Cambaridae","Faxonella clypeata","ditch fencing crayfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Centrarchidae","Micropterus punctulatus","spotted bass","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Characidae","Colossoma or Piaractus sp.","unidentified pacu","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cichlidae","Astronotus ocellatus","oscar","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Cyprinella lutrensis","red shiner","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Notropis baileyi","rough shiner","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Cyprinidae","Tinca tinca","tench","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Ictaluridae","Ameiurus platycephalus","flat bullhead","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Moronidae","Morone saxatilis","striped bass","Freshwater-Marine","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Percidae","Perca flavescens","yellow perch","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Percidae","Sander canadensis","sauger","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03130002","Middle Chattahoochee-Lake Harding"
"Reptiles-Crocodilians","Alligatoridae","Alligator mississippiensis","American Alligator","Freshwater","Native","AL","03130002","Middle Chattahoochee-Lake Harding"
"Fishes","Centrarchidae","Micropterus punctulatus","spotted bass","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Centrarchidae","Pomoxis annularis","white crappie","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Characidae","Colossoma or Piaractus sp.","unidentified pacu","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cichlidae","Astronotus ocellatus","oscar","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cichlidae","Oreochromis niloticus","Nile tilapia","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Ctenopharyngodon idella","grass carp","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Cyprinella lutrensis","red shiner","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Cyprinidae","Pimephales promelas","fathead minnow","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Percidae","Perca flavescens","yellow perch","Freshwater","Native","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Mollusks-Bivalves","Corbiculidae","Corbicula fluminea","Asian clam","Freshwater","Exotic","AL","03130003","Middle Chattahoochee-Walter F. George Rese"
"Fishes","Centrarchidae","Lepomis cyanellus","green sunfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Centrarchidae","Lepomis humilis","orangespotted sunfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Centrarchidae","Micropterus punctulatus punctulatus","northern spotted bass","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Cichlidae","Oreochromis niloticus","Nile tilapia","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Cichlidae","Oreochromis, Sarotherodon, Tilapia sp.","tilapia","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Cyprinidae","Carassius auratus","goldfish","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Cyprinidae","Cyprinus carpio","common carp","Freshwater","Exotic","AL","03130004","Lower Chattahoochee"
"Fishes","Ictaluridae","Ictalurus furcatus","blue catfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Ictaluridae","Pylodictis olivaris","flathead catfish","Freshwater","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Moronidae","Morone chrysops","white bass","Freshwater-Marine","Native","AL","03130004","Lower Chattahoochee"
"Fishes","Moronidae","Morone chrysops x M. saxatilis","wiper","Freshwater-Marine","Native Hybrid","AL","03130004","Lower Chattahoochee"
